id,product_description,vendor,product_name,units
116800,Voila~Dempster's Whole Wheat Bread Texas Toast 675 g@675g^,Voila,Dempster's Whole Wheat Bread Texas Toast 675 g,675g
1688554,Loblaws~100% Whole Wheat Bread@675g^Dempster,Loblaws,100% Whole Wheat Bread,675g
2332853,"Metro~Thick-Sliced Whole Wheat Bread, Italian-Style@675g^Villaggio",Metro,"Thick-Sliced Whole Wheat Bread, Italian-Style",675g
2881302,NoFrills~100% Whole Wheat Bread@675g^Wonder,NoFrills,100% Whole Wheat Bread,675g
3357383,"SaveOnFoods~Dempster's - 100% Whole Wheat Bread, 675 Gram@675g^Dempster's",SaveOnFoods,"Dempster's - 100% Whole Wheat Bread, 675 Gram",675g
3676936,TandT~D'Italiano Whole Wheat Bread (675g)@675g^,TandT,D'Italiano Whole Wheat Bread (675g),675g
